iyear,imonth,iday,region_txt,country_txt,latitude,longitude,nwound,nkill
2000,1,1,North America,United States,44.405705,-85.714454,0.0,0.0
2000,1,2,South America,Colombia,4.667128,-74.106056,0.0,0.0
2000,1,2,South America,Colombia,7.198606,-75.341218,0.0,0.0
2000,1,3,North America,United States,38.232471,-122.644448,0.0,0.0
2000,1,3,North America,United States,39.103175,-84.511981,0.0,0.0
2000,1,3,North America,United States,39.103175,-84.511981,0.0,0.0
2000,1,4,South America,Colombia,4.667128,-74.106056,0.0,0.0
2000,1,7,South America,Colombia,2.938353,-73.208333,0.0,0.0
2000,1,9,South America,Colombia,4.667128,-74.106056,0.0,0.0
2000,1,15,North America,United States,38.232471,-122.644448,0.0,0.0
2000,1,17,South America,Colombia,4.54939,-74.53601,1.0,0.0
2000,1,17,South America,Colombia,7.198606,-75.341218,0.0,0.0
2000,1,18,South America,Colombia,4.667128,-74.106056,6.0,1.0
2000,1,20,North America,United States,39.16659,-86.534244,0.0,0.0
2000,1,21,South America,Ecuador,-0.211188,-78.522629,0.0,0.0
2000,1,23,South America,Paraguay,-25.282773,-57.63561,0.0,0.0
2000,1,24,North America,United States,37.484175,-122.227102,0.0,0.0
2000,1,26,South America,Colombia,4.667128,-74.106056,0.0,0.0
2000,1,28,South America,Colombia,7.131202,-73.124973,0.0,0.0
2000,1,0,South America,Colombia,10.201996,-73.463689,0.0,11.0
2000,1,29,South America,Colombia,7.027345,-71.428555,0.0,0.0
2000,2,3,South America,Colombia,0.435951,-75.52767,0.0,0.0
2000,2,4,South America,Colombia,0.49765,-76.49768,4.0,2.0
2000,2,9,North America,Mexico,32.493683,-116.95295,0.0,4.0
2000,2,16,South America,Ecuador,-2.170832,-79.922359,1.0,0.0
2000,2,17,South America,Colombia,3.656667,-76.688333,1.0,1.0
2000,2,18,South America,Colombia,1.25525,-70.23339,2.0,0.0
2000,2,20,South America,Colombia,7.946283,-72.898807,0.0,9.0
2000,2,16,South America,Colombia,9.581058,-75.035527,0.0,28.0
2000,2,21,South America,Ecuador,-2.170832,-79.922359,0.0,0.0
2000,2,21,South America,Peru,-11.967368,-76.978462,6.0,1.0
2000,2,22,South America,Colombia,4.667128,-74.106056,1.0,0.0
2000,2,22,South America,Colombia,4.667128,-74.106056,0.0,0.0
2000,2,22,South America,Colombia,4.667128,-74.106056,0.0,0.0
2000,2,25,North America,United States,37.548148,-121.988566,0.0,0.0
2000,3,5,South America,Colombia,6.975556,-75.625,0.0,6.0
2000,3,9,South America,Colombia,2.116667,-76.983333,0.0,0.0
2000,3,12,North America,United States,43.557135,-90.888714,0.0,0.0
2000,3,14,South America,Colombia,6.242026,-75.564766,10.0,2.0
2000,3,15,South America,Colombia,3.429344,-76.516037,1.0,0.0
